CA,s,t,p,a
0.0,0,11,1,2
210796131.6672603,0,11,2,0
142728224.5835617,0,11,2,1
400000000.0,0,11,2,2
0.0,1,11,0,0
68089905.97260274,1,11,0,1
0.0,1,11,0,2
0.0,1,11,1,0
30716963.199999996,1,11,1,1
0.0,1,11,1,2
210796131.6672603,1,11,2,0
142728224.5835617,1,11,2,1
400000000.0,1,11,2,2
0.0,2,11,0,0
11755627.178082196,2,11,0,1
0.0,2,11,0,2
0.0,2,11,1,0
70233926.39999999,2,11,1,1
0.0,2,11,1,2
235233248.54191783,2,11,2,0
163972385.7391779,2,11,2,1
400000000.0,2,11,2,2
0.0,0,12,0,0
75097646.4931507,0,12,0,1
0.0,0,12,0,2
0.0,0,12,1,0
33878320.07999999,0,12,1,1
0.0,0,12,1,2
189203868.3327397,0,12,2,0
49488939.67068489,0,12,2,1
0.0,0,12,2,2
0.0,1,12,0,0
75097646.4931507,1,12,0,1
0.0,1,12,0,2
0.0,1,12,1,0
33878320.07999999,1,12,1,1
0.0,1,12,1,2
189203868.3327397,1,12,2,0
49488939.67068489,1,12,2,1
0.0,1,12,2,2
0.0,2,12,0,0
13507562.186301373,2,12,0,1
0.0,2,12,0,2
0.0,2,12,1,0
76556640.59999998,2,12,1,1
0.0,2,12,1,2
164766751.45808217,2,12,2,0
63973857.89643852,2,12,2,1
0.0,2,12,2,2
0.0,0,13,0,0
82666006.06027398,0,13,0,1
0.0,0,13,0,2
0.0,0,13,1,0
37292585.879999995,0,13,1,1
0.0,0,13,1,2
210796131.6672603,0,13,2,0
121576501.8158904,0,13,2,1
400000000.0,0,13,2,2
0.0,1,13,0,0
82666006.06027398,1,13,0,1
0.0,1,13,0,2
0.0,1,13,1,0
37292585.879999995,1,13,1,1
0.0,1,13,1,2
210796131.6672603,1,13,2,0
121576501.8158904,1,13,2,1
400000000.0,1,13,2,2
0.0,2,13,0,0
15399651.95616439,2,13,0,1
0.0,2,13,0,2
0.0,2,13,1,0
83385171.75999999,2,13,1,1
0.0,2,13,1,2
235233248.54191783,2,13,2,0
147177115.60109577,2,13,2,1
400000000.0,2,13,2,2
0.0,0,14,0,0
90839834.33424659,0,14,0,1
0.0,0,14,0,2
0.0,0,14,1,0
40979992.68,0,14,1,1
0.0,0,14,1,2
189203868.3327397,0,14,2,0
26645079.22958903,0,14,2,1
0.0,0,14,2,2
0.0,1,14,0,0
90839834.33424659,1,14,0,1
0.0,1,14,0,2
0.0,1,14,1,0
40979992.68,1,14,1,1
0.0,1,14,1,2
189203868.3327397,1,14,2,0
26645079.22958903,1,14,2,1
0.0,1,14,2,2
0.0,2,14,0,0
17443109.024657536,2,14,0,1
0.0,2,14,0,2
0.0,2,14,1,0
90759985.36,2,14,1,1
0.0,2,14,1,2
164766751.45808217,2,14,2,0
45834966.29808226,2,14,2,1
0.0,2,14,2,2
0.0,0,15,0,0
99667569.26027398,0,15,0,1
0.0,0,15,0,2
0.0,0,15,1,0
44962391.76,0,15,1,1
0.0,0,15,1,2
210796131.6672603,0,15,2,0
96905132.73589039,0,15,2,1
400000000.0,0,15,2,2
0.0,1,15,0,0
99667569.26027398,1,15,0,1
0.0,1,15,0,2
0.0,1,15,1,0
44962391.76,1,15,1,1
0.0,1,15,1,2
210796131.6672603,1,15,2,0
96905132.73589039,1,15,2,1
400000000.0,1,15,2,2
0.0,2,15,0,0
19650042.756164383,2,15,0,1
0.0,2,15,0,2
0.0,2,15,1,0
98724784.39999999,2,15,1,1
0.0,2,15,1,2
235233248.54191783,2,15,2,0
127587112.16109584,2,15,2,1
400000000.0,2,15,2,2
0.0,0,16,0,0
109201522.84383562,0,16,0,1
0.0,0,16,0,2
0.0,0,16,1,0
49263383.4,0,16,1,1
0.0,0,16,1,2
189203868.3327397,0,16,2,0
0.0,0,16,2,1
0.0,0,16,2,2
0.0,1,16,0,0
109201522.84383562,1,16,0,1
0.0,1,16,0,2
0.0,1,16,1,0
49263383.4,1,16,1,1
0.0,1,16,1,2
